"method","seed","target","rmse_mu","pehe_tau","rmse_y","runtime_seconds","propensity_method"
"BCF-univariate",27,2,1.57390304638017,0.175183085598719,4.2713118097008,16.3936972618103,"bart"
"MVBCF",28,1,1.43692628129444,0.154706115966679,3.88441775675696,25.4699125289917,"bart"
"MVBCF",28,2,1.41745839802666,0.903642835792278,3.67003268837671,25.4699125289917,"bart"
"BCF-univariate",28,1,1.66242208807283,0.078784374181667,4.01841882076324,15.2287428379059,"bart"
"BCF-univariate",28,2,1.58507853944424,0.939216694610856,3.71462350888336,17.3884201049805,"bart"
"MVBCF",29,1,1.83915636380927,0.336945058054282,4.43362811560874,25.3708860874176,"bart"
"MVBCF",29,2,1.86286108734848,0.470450826425289,4.58975677010462,25.3708860874176,"bart"
"BCF-univariate",29,1,2.00813173066806,0.300353864931967,4.54550059209341,12.7725672721863,"bart"
"BCF-univariate",29,2,1.93761146331029,0.436267050052606,4.64906502838553,20.2623662948608,"bart"
"MVBCF",30,1,1.89667318261435,0.34349887948066,5.00717980275699,25.2265565395355,"bart"
"MVBCF",30,2,2.02915037247463,0.176688407094316,5.30003104863966,25.2265565395355,"bart"
"BCF-univariate",30,1,1.86940345959701,0.298361182186999,5.02453625757432,22.1518175601959,"bart"
"BCF-univariate",30,2,2.05035344859961,0.330460663961127,5.28853082678957,16.582629442215,"bart"
