suite,source,grid,dgp,n_train,method,metric,target_aggregation,n_seeds,seed_min,seed_max,mean,se,mean_se
abstract,merged_original_causal_drf,main,D7,1000,causal_drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.07213540342,0.003396573047,0.0721(0.0034)
abstract,merged_original_causal_drf,main,D7,1000,causal_drf,reference_effect_rmse,single reported value within seed,10,0,9,0.01283738306,0.004211580715,0.0128(0.0042)
abstract,merged_original_causal_drf,main,D7,1000,causal_drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.02352763002,0.003302555188,0.0235(0.0033)
abstract,merged_original_causal_drf,main,D7,1000,causal_drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.02076328186,0.00391725981,0.0208(0.0039)
abstract,merged_original_causal_drf,main,D7,1000,causal_drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.03604196229,0.0031754898,0.0360(0.0032)
abstract,merged_phase6,main,D7,1000,cwdb_dr,kernel_law_error,mean over two arms within seed,10,0,9,0.009409924243,0.0003159288671,0.0094(0.0003)
abstract,merged_phase6,main,D7,1000,cwdb_dr,mean_quantile_rmse,single reported value within seed,10,0,9,0.05534155566,0.002983808164,0.0553(0.0030)
abstract,merged_phase6,main,D7,1000,cwdb_dr,reference_effect_rmse,single reported value within seed,10,0,9,0.01564918971,0.004479104118,0.0156(0.0045)
abstract,merged_phase6,main,D7,1000,cwdb_dr,reference_tcate_rmse,single reported value within seed,10,0,9,0.03858308778,0.003421166308,0.0386(0.0034)
abstract,merged_phase6,main,D7,1000,cwdb_dr,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.01619998574,0.002101678658,0.0162(0.0021)
abstract,merged_phase6,main,D7,1000,cwdb_dr,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.03681569644,0.002431281977,0.0368(0.0024)
abstract,merged_original_drf,main,D7,1000,drf,kernel_law_error,mean over two arms within seed,10,0,9,0.01424628545,0.0002685978097,0.0142(0.0003)
abstract,merged_original_drf,main,D7,1000,drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.06618799879,0.003050953878,0.0662(0.0031)
abstract,merged_original_drf,main,D7,1000,drf,reference_effect_rmse,single reported value within seed,10,0,9,0.0134702044,0.00427359828,0.0135(0.0043)
abstract,merged_original_drf,main,D7,1000,drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.02378026307,0.003744660109,0.0238(0.0037)
abstract,merged_original_drf,main,D7,1000,drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.01564417821,0.002743376729,0.0156(0.0027)
abstract,merged_original_drf,main,D7,1000,drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.03534490882,0.002724964454,0.0353(0.0027)
abstract,merged_original_causal_drf,main,D8,1000,causal_drf,kernel_law_error,mean over two arms within seed,10,0,9,0.04166983933,0.0007223457357,0.0417(0.0007)
abstract,merged_original_causal_drf,main,D8,1000,causal_drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.2100310077,0.00816154398,0.2100(0.0082)
abstract,merged_original_causal_drf,main,D8,1000,causal_drf,reference_effect_rmse,single reported value within seed,10,0,9,0.03248551979,0.008770191129,0.0325(0.0088)
abstract,merged_original_causal_drf,main,D8,1000,causal_drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.05837636605,0.007689677942,0.0584(0.0077)
abstract,merged_original_causal_drf,main,D8,1000,causal_drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.07055439158,0.007208504233,0.0706(0.0072)
abstract,merged_original_causal_drf,main,D8,1000,causal_drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.0889029724,0.004709317525,0.0889(0.0047)
abstract,merged_phase6,main,D8,1000,cwdb_dr,kernel_law_error,mean over two arms within seed,10,0,9,0.01266717598,0.0003321381153,0.0127(0.0003)
