paper_dgp,dgp,metric,target_id,detail,arm,method_left,method_right,rmse_difference,paired_mc_se,ci95_low,ci95_high,n_pairs
Z3,ZI3,aipw_reference_tate_abs_error,REF-ATE-K,aipw reference contrast; marginal absolute error,,cwdb_zipt,drf,-0.09144380393680956,0.012168199951143484,-0.11529347584105079,-0.06759413203256834,50
Z3,ZI3,aipw_reference_tcate_rmse,REF-TCATE-K,"aipw reference contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,causal_drf,cwdb_zipt,0.06594777250979936,0.009056549926260914,0.048196934654327964,0.08369861036527075,50
Z3,ZI3,aipw_reference_tcate_rmse,REF-TCATE-K,"aipw reference contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,causal_drf,drf,-0.1191200452346837,0.007733949244051714,-0.13427858575302506,-0.10396150471634234,50
Z3,ZI3,aipw_reference_tcate_rmse,REF-TCATE-K,"aipw reference contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,cwdb_zipt,drf,-0.18506781774448305,0.014986643037831999,-0.21444163809863376,-0.15569399739033235,50
Z3,ZI3,aipw_tate_abs_error,TATE-K-grid_mean,aipw functional contrast; marginal absolute error,,causal_drf,cwdb_zipt,0.05639357821786986,0.016026968366643284,0.024980720219249027,0.0878064362164907,50
Z3,ZI3,aipw_tate_abs_error,TATE-K-grid_mean,aipw functional contrast; marginal absolute error,,causal_drf,drf,-0.12353586657390175,0.01076071697444221,-0.14462687184380849,-0.10244486130399502,50
Z3,ZI3,aipw_tate_abs_error,TATE-K-grid_mean,aipw functional contrast; marginal absolute error,,cwdb_zipt,drf,-0.17992944479177161,0.02265158167429869,-0.22432654487339704,-0.1355323447101462,50
Z3,ZI3,aipw_tate_abs_error,TATE-K-grid_sd,aipw functional contrast; marginal absolute error,,causal_drf,cwdb_zipt,0.012791942833421222,0.003998362172357311,0.004955152975600893,0.02062873269124155,50
Z3,ZI3,aipw_tate_abs_error,TATE-K-grid_sd,aipw functional contrast; marginal absolute error,,causal_drf,drf,-0.02887666738858538,0.0023383484261389974,-0.033459830303817814,-0.024293504473352948,50
Z3,ZI3,aipw_tate_abs_error,TATE-K-grid_sd,aipw functional contrast; marginal absolute error,,cwdb_zipt,drf,-0.0416686102220066,0.005493583256788523,-0.05243603340531211,-0.030901187038701095,50
Z3,ZI3,aipw_tate_abs_error,TATE-K-grid_skewness,aipw functional contrast; marginal absolute error,,causal_drf,cwdb_zipt,0.018006008797825962,0.003604967693640812,0.01094027211828997,0.025071745477361955,50
Z3,ZI3,aipw_tate_abs_error,TATE-K-grid_skewness,aipw functional contrast; marginal absolute error,,causal_drf,drf,-0.035524574113658204,0.0026109003335365428,-0.04064193876738983,-0.03040720945992658,50
Z3,ZI3,aipw_tate_abs_error,TATE-K-grid_skewness,aipw functional contrast; marginal absolute error,,cwdb_zipt,drf,-0.053530582911484166,0.005526471026748173,-0.06436246612391058,-0.04269869969905775,50
Z3,ZI3,aipw_tate_abs_error,TATE-K-grid_upper_tail_mean,aipw functional contrast; marginal absolute error,,causal_drf,cwdb_zipt,0.06565461189245081,0.018728815193471526,0.02894613411324662,0.102363089671655,50
Z3,ZI3,aipw_tate_abs_error,TATE-K-grid_upper_tail_mean,aipw functional contrast; marginal absolute error,,causal_drf,drf,-0.14362024752637273,0.012347069800368088,-0.16782050433509418,-0.11941999071765128,50
Z3,ZI3,aipw_tate_abs_error,TATE-K-grid_upper_tail_mean,aipw functional contrast; marginal absolute error,,cwdb_zipt,drf,-0.20927485941882354,0.02636058802883962,-0.2609416119553492,-0.15760810688229787,50
Z3,ZI3,aipw_tcate_rmse,TCATE-K-grid_mean,"aipw functional contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,causal_drf,cwdb_zipt,0.1278168791042999,0.01631133787459706,0.09584665687008967,0.15978710133851012,50
Z3,ZI3,aipw_tcate_rmse,TCATE-K-grid_mean,"aipw functional contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,causal_drf,drf,-0.2346283462440853,0.014291344886349156,-0.26263938222132965,-0.20661731026684094,50
Z3,ZI3,aipw_tcate_rmse,TCATE-K-grid_mean,"aipw functional contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,cwdb_zipt,drf,-0.3624452253483852,0.027109472065926923,-0.415579790597602,-0.3093106600991684,50
Z3,ZI3,aipw_tcate_rmse,TCATE-K-grid_sd,"aipw functional contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,causal_drf,cwdb_zipt,0.029662422013526174,0.003651710917459137,0.022505068615306267,0.03681977541174608,50
Z3,ZI3,aipw_tcate_rmse,TCATE-K-grid_sd,"aipw functional contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,causal_drf,drf,-0.05469385214298382,0.0033354423668299185,-0.06123131918197046,-0.04815638510399718,50
Z3,ZI3,aipw_tcate_rmse,TCATE-K-grid_sd,"aipw functional contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,cwdb_zipt,drf,-0.08435627415651,0.006036656060347443,-0.09618812003479098,-0.07252442827822901,50
Z3,ZI3,aipw_tcate_rmse,TCATE-K-grid_skewness,"aipw functional contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,causal_drf,cwdb_zipt,0.035713766091291926,0.004015314804483054,0.02784374907450514,0.043583783108078714,50
Z3,ZI3,aipw_tcate_rmse,TCATE-K-grid_skewness,"aipw functional contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,causal_drf,drf,-0.06966357140252694,0.004092676091153985,-0.07768521654118875,-0.061641926263865124,50
Z3,ZI3,aipw_tcate_rmse,TCATE-K-grid_skewness,"aipw functional contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,cwdb_zipt,drf,-0.10537733749381886,0.007145159260138408,-0.11938184964369014,-0.09137282534394758,50
Z3,ZI3,aipw_tcate_rmse,TCATE-K-grid_upper_tail_mean,"aipw functional contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,causal_drf,cwdb_zipt,0.14915093119042533,0.018764971425979524,0.11237158719550547,0.1859302751853452,50
Z3,ZI3,aipw_tcate_rmse,TCATE-K-grid_upper_tail_mean,"aipw functional contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,causal_drf,drf,-0.27228911756268537,0.01653486351294041,-0.30469745004804855,-0.23988078507732216,50
Z3,ZI3,aipw_tcate_rmse,TCATE-K-grid_upper_tail_mean,"aipw functional contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,cwdb_zipt,drf,-0.4214400487531107,0.031221405912649963,-0.4826340043419046,-0.36024609316431677,50
Z3,ZI3,barycenter_rmse,MEANQ-A-K,,0.0,causal_drf,cwdb_zipt,0.5823753082197869,0.012161487729738532,0.5585387922694993,0.6062118241700745,50
Z3,ZI3,barycenter_rmse,MEANQ-A-K,,0.0,causal_drf,drf,-1.0507454818159376,0.01859480887208095,-1.0871913072052164,-1.0142996564266589,50
Z3,ZI3,barycenter_rmse,MEANQ-A-K,,0.0,cwdb_zipt,drf,-1.6331207900357245,0.02419076387393186,-1.6805346872286309,-1.5857068928428182,50
Z3,ZI3,barycenter_rmse,MEANQ-A-K,,1.0,causal_drf,cwdb_zipt,0.5388525357531277,0.016023678634867717,0.507446125628787,0.5702589458774685,50
Z3,ZI3,barycenter_rmse,MEANQ-A-K,,1.0,causal_drf,drf,-0.7425903030603703,0.014547582243166265,-0.7711035642569762,-0.7140770418637644,50
Z3,ZI3,barycenter_rmse,MEANQ-A-K,,1.0,cwdb_zipt,drf,-1.281442838813498,0.015175768841074973,-1.311187345742005,-1.251698331884991,50
Z3,ZI3,mass_contrast_rmse,LAW-A-K,degenerate-probability contrast across moderator bins,,causal_drf,cwdb_zipt,0.16333969351403183,0.002606996826041387,0.1582299797349907,0.16844940729307295,50
Z3,ZI3,mass_contrast_rmse,LAW-A-K,degenerate-probability contrast across moderator bins,,causal_drf,drf,-0.19149837120775587,0.003724774456425911,-0.19879892914235064,-0.1841978132731611,50
Z3,ZI3,mass_contrast_rmse,LAW-A-K,degenerate-probability contrast across moderator bins,,cwdb_zipt,drf,-0.3548380647217877,0.004096777376390839,-0.36286774837951374,-0.34680838106406164,50
Z3,ZI3,mean_quantile_rmse,MEANQ-A-K,"arm contrast, the mandatory common target",,causal_drf,cwdb_zipt,0.6977565772678029,0.015585226877566692,0.6672095325877723,0.7283036219478336,50
Z3,ZI3,mean_quantile_rmse,MEANQ-A-K,"arm contrast, the mandatory common target",,causal_drf,drf,-0.9337310432103254,0.019542621079146633,-0.9720345805254528,-0.895427505895198,50
Z3,ZI3,mean_quantile_rmse,MEANQ-A-K,"arm contrast, the mandatory common target",,cwdb_zipt,drf,-1.6314876204781283,0.021448353491865725,-1.6735263933221851,-1.5894488476340716,50
Z3,ZI3,plugin_reference_tate_abs_error,REF-ATE-K,plugin reference contrast; marginal absolute error,,causal_drf,cwdb_zipt,0.4203759791664512,0.0068780216317219185,0.40689505676827625,0.43385690156462614,50
Z3,ZI3,plugin_reference_tate_abs_error,REF-ATE-K,plugin reference contrast; marginal absolute error,,causal_drf,drf,-0.47832338622236814,0.009519610478997536,-0.4969818227612033,-0.459664949683533,50
Z3,ZI3,plugin_reference_tate_abs_error,REF-ATE-K,plugin reference contrast; marginal absolute error,,cwdb_zipt,drf,-0.8986993653888193,0.010329851036633867,-0.9189458734206217,-0.878452857357017,50
Z3,ZI3,plugin_reference_tcate_rmse,REF-TCATE-K,"plugin reference contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,causal_drf,cwdb_zipt,0.4043776476940135,0.007837081322786283,0.3890169683013524,0.41973832708667463,50
Z3,ZI3,plugin_reference_tcate_rmse,REF-TCATE-K,"plugin reference contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,causal_drf,drf,-0.46806936296098267,0.009842196475776981,-0.48736006805350557,-0.4487786578684598,50
Z3,ZI3,plugin_reference_tcate_rmse,REF-TCATE-K,"plugin reference contrast; RMSE over four strata of X4 with edges (-0.5, 0.0, 0.5)",,cwdb_zipt,drf,-0.8724470106549962,0.010579061279188876,-0.8931819707622064,-0.851712050547786,50
Z3,ZI3,plugin_tate_abs_error,TATE-K-grid_mean,plugin functional contrast; marginal absolute error,,causal_drf,cwdb_zipt,0.8074426823910519,0.012343282575425784,0.7832498485432173,0.8316355162388864,50
Z3,ZI3,plugin_tate_abs_error,TATE-K-grid_mean,plugin functional contrast; marginal absolute error,,causal_drf,drf,-0.9183362582006296,0.018037909295153882,-0.9536905604191313,-0.8829819559821279,50
