dgp,n_train,n_grid,n_particles,method,comparator,metric,target_id,n_seeds,mean,mc_se,comparator_mean,paired_delta,paired_mc_se,n_pairs
SYM-MU,500,25,10,cwdb_dr,drf,mean_quantile_rmse,MEANQ-A-K,10,0.1286768278304405,,0.171736226727768,-0.0430593988973275,0.008953877524367894,10
SYM-MU,500,25,10,cwdb_dr,drf,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04596207147274682,,0.049930838984983766,-0.003968767512236949,0.005299327816231533,10
SYM-MU,1000,25,10,cwdb_dr,drf,reference_tcate_rmse,REF-TCATE-K,10,0.0286986354944959,,0.04058175422809408,-0.01188311873359818,0.002763852890267877,10
SYM-MU,1000,25,10,cwdb_dr,drf,reference_effect_rmse,REF-ATE-K,10,0.011472116925584499,,0.01695337615034102,-0.005481259224756523,0.0028226178179412754,10
SYM-MU,1000,25,10,cwdb_dr,drf,kernel_law_error,LAW-A-K,10,0.02363687322588149,,0.053574741689196036,-0.02993786846331455,0.0014274803548475286,10
SYM-MU,1000,25,10,cwdb_dr,drf,mean_quantile_rmse,MEANQ-A-K,10,0.11222213791673293,,0.14217880802968574,-0.029956670112952805,0.006989744756785957,10
SYM-MU,1000,25,10,cwdb_dr,drf,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.028564441264883028,,0.04058990725355302,-0.01202546598866999,0.002744509266417944,10
SYM-NL,500,25,10,cwdb_dr,drf,reference_tcate_rmse,REF-TCATE-K,10,0.05969963521687353,,0.07457614920114564,-0.014876513984272113,0.007829426791430977,10
SYM-NL,500,25,10,cwdb_dr,drf,reference_effect_rmse,REF-ATE-K,10,0.021182066827837583,,0.052465542893471086,-0.0312834760656335,0.00790066223199656,10
SYM-NL,500,25,10,cwdb_dr,drf,kernel_law_error,LAW-A-K,10,0.029028240854596498,,0.07912275636571446,-0.05009451551111795,0.002631539763028214,10
