dgp,n_train,n_grid,n_particles,metric,target_id,functional,mean,mc_se,n_seeds,primary_mean,absolute_delta,relative_delta,paired_delta,paired_mc_se,n_pairs,evaluated
IC0,1000,25,5,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.03484763568709939,0.004581175145708903,10,0.03418013439457301,0.000667501292526386,0.019528925334839214,-0.0006675012925263818,0.0027338076328429508,10,True
IC0,1000,25,10,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.03418013439457301,0.004080799135355819,10,0.03418013439457301,0.0,0.0,0.0,0.0,10,True
IC0,1000,25,25,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.03563577591689358,0.004071031927133507,10,0.03418013439457301,0.0014556415223205763,0.042587355143685376,-0.0014556415223205726,0.0018084732526204219,10,True
IC1,1000,25,5,kernel_law_error,LAW-A-K,,0.01742099562642164,0.0006169079680452986,10,0.016942015582137426,0.0004789800442842121,0.028271727290182517,-0.0004789800442842124,0.0005168782263113475,10,True
IC1,1000,25,10,kernel_law_error,LAW-A-K,,0.016942015582137426,0.000495678144880304,10,0.016942015582137426,0.0,0.0,0.0,0.0,10,True
IC1,1000,25,25,kernel_law_error,LAW-A-K,,0.017166389356229078,0.0005119761492971572,10,0.016942015582137426,0.00022437377409165182,0.013243629307496159,-0.0002243737740916532,0.00041605498675732706,10,True
IC1,1000,25,5,mean_quantile_rmse,MEANQ-A-K,,0.09043610417116354,0.006072862890823079,10,0.1080161218431525,0.017580017671988954,0.16275364614104973,0.017580017671988947,0.008984149673802544,10,True
IC1,1000,25,10,mean_quantile_rmse,MEANQ-A-K,,0.1080161218431525,0.008190178457297647,10,0.1080161218431525,0.0,0.0,0.0,0.0,10,True
IC1,1000,25,25,mean_quantile_rmse,MEANQ-A-K,,0.09910381232427184,0.008487714578958735,10,0.1080161218431525,0.008912309518880654,0.0825090677836221,0.008912309518880644,0.009813810370832716,10,True
IC1,1000,25,5,reference_effect_rmse,REF-ATE-K,,0.014342927777420505,0.0027603529072185076,10,0.01226532057704118,0.0020776072003793247,0.16938874017433267,-0.002077607200379325,0.0018672579553285855,10,True
IC1,1000,25,10,reference_effect_rmse,REF-ATE-K,,0.01226532057704118,0.002190244024324839,10,0.01226532057704118,0.0,0.0,0.0,0.0,10,True
IC1,1000,25,25,reference_effect_rmse,REF-ATE-K,,0.013519169279304282,0.0027262978168344364,10,0.01226532057704118,0.001253848702263102,0.10222714476865094,-0.0012538487022631024,0.0015902161972653327,10,True
IC1,1000,25,5,reference_tcate_rmse,REF-TCATE-K,,0.030026983831248473,0.003249928387519417,10,0.030854929704266947,0.0008279458730184736,0.026833503785425136,0.0008279458730184744,0.0014426894339630127,10,True
IC1,1000,25,10,reference_tcate_rmse,REF-TCATE-K,,0.030854929704266947,0.0025879007334415264,10,0.030854929704266947,0.0,0.0,0.0,0.0,10,True
