grid,dgp,n_train,n_grid,n_particles,method,metric,comparison,native_target_id,common_target_id,n_pairs,native_mean,common_mean,paired_delta,paired_mc_se,p_value
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,500,25,10,cwdb_dr,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.024970364621740272,0.03527117917898476,-0.010300814557244485,0.0001204298996832909,0.0
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,500,25,10,drf,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.02764016263876301,0.027612591072298874,2.757156646413343e-05,6.0741171643880255e-05,0.6498871920455573
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,500,25,10,drf,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.02764016263876301,0.028813562815649257,-0.0011734001768862455,0.0003117481113235432,0.00016725919736187007
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,500,25,10,drf,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.06366657122115749,0.0732098645240837,-0.009543293302926217,0.00011182667863539568,0.0
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,1000,25,10,causal_drf,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.01931267324439639,0.019193278539970313,0.0001193947044260772,6.053548571168385e-05,0.04857430301222651
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,1000,25,10,causal_drf,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.01931267324439639,0.0197146784804473,-0.00040200523605090824,0.00020109549776176858,0.045600103050690635
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,1000,25,10,causal_drf,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.06158786728732786,0.07103436522577251,-0.009446497938444664,0.0001028566581847715,0.0
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,1000,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.03423661534208834,0.034177168047779025,5.9447294309318556e-05,7.145100829976373e-05,0.4054085068266118
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,1000,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.03423661534208834,0.0354970500037851,-0.0012604346616967657,0.00018135089256909455,3.646305991789014e-12
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,1000,25,10,cwdb_dr,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.021504758460666136,0.03179551835078435,-0.010290759890118207,9.319338148522561e-05,0.0
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,1000,25,10,drf,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.021490011524272552,0.021415989441251813,7.402208302074112e-05,7.106171630664898e-05,0.2975697605298624
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,1000,25,10,drf,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.021490011524272552,0.022119314441980356,-0.0006293029177078044,0.00026689117812584004,0.018378604359945816
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,1000,25,10,drf,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.04708666944124653,0.05682173054354152,-0.00973506110229498,0.00010667348103420884,0.0
wcf_sensitivity_v1_confirm,IC0,1000,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,20,0.0310434894225583,0.03106702357901871,-2.3534156460410395e-05,9.594953542293064e-05,0.8062424251634904
wcf_sensitivity_v1_confirm,IC0,1000,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,20,0.0310434894225583,0.03298657095570768,-0.0019430815331493718,0.0007801309418408438,0.012748739712628021
wcf_sensitivity_v1_confirm,IC0,1000,25,10,cwdb_dr,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,20,0.015128488587019723,0.06753731296657256,-0.052408824379552854,0.0005333435174245431,0.0
wcf_sensitivity_v1_confirm,IC0,1000,49,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,20,0.03063472606133292,0.03069784957904515,-6.312351771223263e-05,6.0724555817086174e-05,0.29856964058004976
wcf_sensitivity_v1_confirm,IC0,1000,49,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,20,0.03063472606133292,0.03271658799417773,-0.0020818619328448074,0.0009634743244194782,0.030711865895110938
wcf_sensitivity_v1_confirm,IC0,1000,49,10,cwdb_dr,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,20,0.01484326398076408,0.03611884554865929,-0.021275581567895212,0.00024291804198137593,0.0
wcf_sensitivity_v1_confirm,IC1,1000,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,20,0.03309608548177113,0.03563505326731931,-0.002538967785548185,0.0011489777671210444,0.02712166150528383
wcf_sensitivity_v1_confirm,IC1,1000,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,20,0.03309608548177113,0.035208065867994895,-0.0021119803862237685,0.0009376379943094754,0.024294004851776217
wcf_sensitivity_v1_confirm,IC1,1000,25,10,cwdb_dr,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,20,0.017793802112402037,0.061932983225207815,-0.04413918111280578,0.0004353647003656288,0.0
wcf_sensitivity_v1_confirm,IC1,1000,49,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,20,0.031658796240611284,0.03281311741860756,-0.001154321177996282,0.000796244116338195,0.14714006460988052
wcf_sensitivity_v1_confirm,IC1,1000,49,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,20,0.031658796240611284,0.03429246164314685,-0.002633665402535569,0.0009069137162015933,0.0036844376894405377
wcf_sensitivity_v1_confirm,IC1,1000,49,10,cwdb_dr,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,20,0.01712849895935912,0.03483985573880429,-0.017711356779445173,0.00017370412309539198,0.0
wcf_sensitivity_v1_confirm,IC2,1000,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,20,0.031995325575281904,0.03638870854508873,-0.004393382969806835,0.002272784987335995,0.053231342088728595
wcf_sensitivity_v1_confirm,IC2,1000,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,20,0.031995325575281904,0.03318041386569935,-0.0011850882904174543,0.0006254909918716879,0.05813840813644669
wcf_sensitivity_v1_confirm,IC2,1000,25,10,cwdb_dr,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,20,0.016687156753145773,0.06149495950534427,-0.044807802752198506,0.000540130503279423,0.0
wcf_sensitivity_v1_confirm,IC2,1000,49,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,20,0.03110210021038204,0.03255877387654652,-0.001456673666164477,0.0013371809239152079,0.2759944200478017
