grid,dgp,n_train,n_grid,n_particles,method,seed,metric,target_id,value,n_arm_rows,wall_seconds
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tail_calibration,LAW-A-K,0.04465064839961225,2,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tate_functional_rmse,TATE-COMMON199-grid_mean,0.1767080382507982,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tate_functional_rmse,TATE-COMMON199-grid_sd,0.0009242651257424451,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tate_functional_rmse,TATE-COMMON199-grid_skewness,3.9458769816521e-18,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tate_functional_rmse,TATE-COMMON199-grid_upper_tail_mean,0.17596244574274159,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tate_functional_rmse,TATE-K-grid_mean,0.1767080382507982,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tate_functional_rmse,TATE-K-grid_sd,0.0009275369945293319,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tate_functional_rmse,TATE-K-grid_skewness,4.569677624163296e-18,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tate_functional_rmse,TATE-K-grid_upper_tail_mean,0.17598750159042884,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tcate_functional_rmse,TCATE-COMMON199-grid_mean,0.19258860716373702,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tcate_functional_rmse,TCATE-COMMON199-grid_sd,0.003649214451891838,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tcate_functional_rmse,TCATE-COMMON199-grid_skewness,6.684508398047585e-17,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tcate_functional_rmse,TCATE-COMMON199-grid_upper_tail_mean,0.19287184521584044,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tcate_functional_rmse,TCATE-K-grid_mean,0.192588607163737,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tcate_functional_rmse,TCATE-K-grid_sd,0.003662132553558905,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tcate_functional_rmse,TCATE-K-grid_skewness,8.88375828884115e-18,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,0.19286160405938962,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,arm_energy_risk,LAW-A-M-K,0.08691517194893145,2,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,barycenter_rmse,MEANQ-A-K,0.29497678579920006,2,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,diagnostic_effective_support,NONE_OPERATIONAL,92.25088206227377,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,kernel_law_error,LAW-A-COMMON199,0.07946074712976803,2,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,kernel_law_error,LAW-A-INTERIOR,0.0695985999180066,2,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,kernel_law_error,LAW-A-K,0.07017138663071992,2,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,mean_quantile_rmse,MEANQ-A-COMMON199,0.2433135036451672,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,mean_quantile_rmse,MEANQ-A-INTERIOR,0.2432852259270636,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,mean_quantile_rmse,MEANQ-A-K,0.243313879055501,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,mode_coverage,LAW-A-K,1.0,2,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,peak_ram,NONE_OPERATIONAL,304.6055,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,process_peak_ram,NONE_OPERATIONAL,188.04296875,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,reference_effect_rmse,REF-ATE-COMMON199,0.041586707709049806,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,reference_effect_rmse,REF-ATE-K,0.04153347275264348,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,reference_tcate_rmse,REF-TCATE-COMMON199,0.06866144747669813,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,reference_tcate_rmse,REF-TCATE-INTERIOR,0.0697776361787783,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,reference_tcate_rmse,REF-TCATE-K,0.06890781612449424,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,runtime,NONE_OPERATIONAL,20.547,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,tail_calibration,LAW-A-K,0.056766422675325175,2,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,tate_functional_rmse,TATE-COMMON199-grid_mean,0.21664488752755162,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,tate_functional_rmse,TATE-COMMON199-grid_sd,0.0013826728134064441,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,tate_functional_rmse,TATE-COMMON199-grid_skewness,5.420273138356586e-17,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,tate_functional_rmse,TATE-COMMON199-grid_upper_tail_mean,0.2177602714818484,1,23.77886531799959
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,4,tate_functional_rmse,TATE-K-grid_mean,0.21664488752755162,1,23.77886531799959
