grid,dgp,metric,method,mean,standard_error,n,merged_checksum,git_revision
main,D1,tail_calibration,cwdb_v1,0.1065341715282317,0.002424454544224351,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,tail_calibration,cwdb_v0,0.1205505869870109,0.002185742809316396,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,tail_calibration,wdrft,0.08329712905090333,0.0016274991900603328,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,tail_calibration,causal_drf,0.12036815427467891,0.0024136760276021723,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,mode_coverage,cwdb_v1,1.0,0.0,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,mode_coverage,cwdb_v0,1.0,0.0,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,mode_coverage,wdrft,1.0,0.0,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,mode_coverage,causal_drf,1.0,0.0,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,barycenter_rmse,cwdb_v1,0.21238691547807384,0.003760978642979399,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,barycenter_rmse,cwdb_v0,0.23652044989896606,0.0035691447797491106,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,barycenter_rmse,wdrft,0.208585991973117,0.0026191964041590663,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,barycenter_rmse,causal_drf,0.2946611909644675,0.006917953544214179,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,barycenter_rmse,pta_s,0.1497133790253849,0.0028253454242186775,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,mean_quantile_rmse,cwdb_v1,0.14663776109532134,0.0037616588217291294,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
