year,state_fips,k,u_k,earnwke_q
2010,23,15,0.58,698.1982373933133
2010,23,16,0.62,744.0
2010,23,17,0.66,800.0
2010,23,18,0.7,865.38
2010,23,19,0.74,960.0
2010,23,20,0.78,1038.46
2010,23,21,0.82,1153.0
2010,23,22,0.86,1250.0
2010,23,23,0.9,1401.8300679073648
2010,23,24,0.94,1651.8494936368759
2010,23,25,0.98,2489.6951421898207
2010,24,1,0.02,57.63702594540121
2010,24,2,0.06,160.0
2010,24,3,0.1,240.0
2010,24,4,0.14,300.0
2010,24,5,0.18,353.9558706655602
2010,24,6,0.22,400.0
2010,24,7,0.26,461.0
2010,24,8,0.3,500.0
2010,24,9,0.34,560.0
2010,24,10,0.38,600.0
2010,24,11,0.42,650.0
2010,24,12,0.46,700.0
2010,24,13,0.5,769.0567672013913
2010,24,14,0.54,830.0
2010,24,15,0.58,900.0
2010,24,16,0.62,961.53
2010,24,17,0.66,1057.299555678336
2010,24,18,0.7,1153.84
2010,24,19,0.74,1250.0
2010,24,20,0.78,1365.38
2010,24,21,0.82,1500.0
2010,24,22,0.86,1666.7397513193735
2010,24,23,0.9,1923.0127516163166
2010,24,24,0.94,2307.2353079718696
2010,24,25,0.98,2884.61
2010,25,1,0.02,90.0
2010,25,2,0.06,153.84
2010,25,3,0.1,207.49561107006684
2010,25,4,0.14,280.0
2010,25,5,0.18,346.15
2010,25,6,0.22,397.7341751706959
2010,25,7,0.26,448.71606188331936
2010,25,8,0.3,500.0
2010,25,9,0.34,560.0
2010,25,10,0.38,600.0
2010,25,11,0.42,673.0
2010,25,12,0.46,723.8805653421866
2010,25,13,0.5,783.00578479151
2010,25,14,0.54,846.15
2010,25,15,0.58,923.07
2010,25,16,0.62,1000.0
2010,25,17,0.66,1057.69
2010,25,18,0.7,1153.84
2010,25,19,0.74,1250.0
2010,25,20,0.78,1384.0
2010,25,21,0.82,1527.0526656343604
2010,25,22,0.86,1730.0
2010,25,23,0.9,1923.07
2010,25,24,0.94,2307.69
2010,25,25,0.98,2884.61
2010,26,1,0.02,71.00530594396109
2010,26,2,0.06,130.0
2010,26,3,0.1,172.5
2010,26,4,0.14,225.0
2010,26,5,0.18,273.5621152549529
2010,26,6,0.22,315.0
2010,26,7,0.26,354.98925703656425
2010,26,8,0.3,400.0
2010,26,9,0.34,440.0
2010,26,10,0.38,488.6533127539049
2010,26,11,0.42,530.76
2010,26,12,0.46,576.92
2010,26,13,0.5,620.0
2010,26,14,0.54,673.07
2010,26,15,0.58,730.76
2010,26,16,0.62,791.9383166955063
2010,26,17,0.66,850.0
2010,26,18,0.7,921.9445884135075
2010,26,19,0.74,1000.0
2010,26,20,0.78,1115.0
2010,26,21,0.82,1203.3148152674212
2010,26,22,0.86,1384.0
2010,26,23,0.9,1538.46
2010,26,24,0.94,1923.07
2010,26,25,0.98,2596.15
2010,27,1,0.02,66.13022972231757
2010,27,2,0.06,130.23494048519507
2010,27,3,0.1,192.3
2010,27,4,0.14,250.0
2010,27,5,0.18,301.5764209122247
2010,27,6,0.22,368.0
2010,27,7,0.26,414.0
2010,27,8,0.3,460.0
2010,27,9,0.34,500.0
2010,27,10,0.38,560.0
2010,27,11,0.42,600.0
2010,27,12,0.46,650.0
2010,27,13,0.5,700.0
2010,27,14,0.54,759.4271183297452
2010,27,15,0.58,800.0
2010,27,16,0.62,865.38
2010,27,17,0.66,932.7455902808728
2010,27,18,0.7,999.6845960318082
2010,27,19,0.74,1061.53
2010,27,20,0.78,1153.84
2010,27,21,0.82,1260.0
2010,27,22,0.86,1442.0
2010,27,23,0.9,1623.73551459826
2010,27,24,0.94,1923.07
2010,27,25,0.98,2884.61
2010,28,1,0.02,90.56216240397958
2010,28,2,0.06,152.6394208298533
2010,28,3,0.1,219.32925112401372
2010,28,4,0.14,261.0
