state_fips,n_records,n_wage_earners_16_64,sum_PWGTP,n_ftyr,median_wage_all_16_64,median_wage_ftyr,se_median,cv_median,cv_p90,statename,stateabb,min_mw,min_fed_mw,mw_above_fed,medicaid_expanded,rtw,impl_year,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25
41,18896,18896,1986607.0,11917,36365.22,50507.25,268.18834169589275,0.0073748582215615,0.0,Oregon,OR,10.75,7.25,1,1,0,2014.0,1010.145,3030.4350000000004,6060.870000000001,9596.3775,12121.740000000002,16051.957378474555,20000.871000000003,22223.19,25253.625,28284.06,30304.35,33334.785,36365.22,40405.8,43436.235,48284.931,50507.25,57578.26500000001,62628.990000000005,70710.15000000001,78791.31000000001,88892.76000000001,101014.5,124247.835,202029.0
42,59424,59424,6116941.0,40270,38385.51,50507.25,0.0,0.0,0.0,Pennsylvania,PA,7.25,7.25,0,1,0,2015.0,878.3274015888326,2525.3625,5050.725,8081.160000000001,11616.6675,15152.175,19192.755,22223.19,25253.625,29092.176000000003,30304.35,35355.075000000004,38385.51,40405.8,45456.525,50507.25,52527.54,58588.41,62628.990000000005,70710.15000000001,76771.02,86872.47,101014.5,123237.69,202029.0
44,5196,5196,539623.0,3411,39395.655000000006,50507.25,1246.9350448540972,0.0316515880965577,0.0313357488273554,Rhode Island,RI,10.5,7.25,1,1,0,2014.0,724.8323286141734,3030.4350000000004,5050.725,7879.131,12121.740000000002,15152.175,19596.813,23233.335000000003,25253.625,30304.35,33119.230604698794,35355.075000000004,39395.655000000006,41415.945,45456.525,50507.25,55557.975000000006,60608.7,64649.280000000006,70710.15000000001,77422.97946705844,85862.32500000001,98994.21,121217.4,185347.08666562545
45,21910,21910,2322151.0,15072,33637.8285,42426.09,750.3546187172373,0.0223068685517924,0.0249061361257636,South Carolina,SC,7.25,7.25,0,0,1,,909.1305,3030.4350000000004,5252.754000000001,8081.160000000001,11212.6095,15059.835862941174,17576.523,20202.9,23233.335000000003,25253.625,28284.06,30304.35,33637.8285,36365.22,40405.8,42426.09,45456.525,50507.25,55557.975000000006,60608.7,66669.57,75760.875,89902.90500000001,111115.95,176775.375
46,4100,4100,422915.0,2823,35355.075000000004,43436.235,187.33937683685213,0.0052987973250474,0.040210290166985,South Dakota,SD,9.1,7.25,1,0,1,2023.0,1010.145,3333.4785,5050.725,8081.160000000001,11111.595,15152.175,20202.9,22223.19,25253.625,27273.915,30304.35,31314.495000000003,35355.075000000004,37880.4375,40405.8,42426.09,45456.525,50507.25,52527.54,57578.26500000001,60610.60593396212,70710.15000000001,80811.6,101014.5,161623.2
47,29806,29806,3107240.0,20682,33637.8285,42426.09,710.0891100026972,0.02110983799096,0.0049690399499995,Tennessee,TN,7.25,7.25,0,0,1,,909.1305,3030.4350000000004,5757.8265,9091.305,12121.740000000002,15152.175,18182.61,20202.9,24243.480000000003,25253.625,29092.176000000003,30304.35,33637.8285,36365.22,40405.8,42426.09,46264.641,50507.25,55557.975000000006,60608.7,65659.425,75760.875,90913.05,113136.24,181826.1
48,120123,120123,13401529.0,85389,35355.075000000004,45456.525,0.0,0.0,0.0,Texas,TX,7.25,7.25,0,0,1,,1010.145,3333.4785,6060.870000000001,9798.4065,12121.740000000002,15152.175,18182.61,20606.958,24243.480000000003,26263.77,30304.35,32324.640000000003,35355.075000000004,39799.713,42426.09,47476.815,50507.25,55557.975000000006,60608.7,67679.71500000001,75760.875,86872.47,101014.5,129298.56,202029.0
49,15331,15331,1587747.0,9448,34344.93,49340.44691949154,346.6205840749896,0.0100923363091725,0.0233967839645883,Utah,UT,7.25,7.25,0,0,1,2020.0,707.1015000000001,2525.3625,5050.725,7071.015,10101.45,12121.740000000002,15152.175,19672.00819379999,22223.19,25253.625,28284.06,30304.35,34344.93,37375.365000000005,40405.8,45456.525,50507.25,53537.685000000005,60608.7,65659.425,72730.44,80811.6,97984.065,121217.4,202029.0
50,3070,3070,313786.0,1926,36365.22,50507.25,1240.2030452703154,0.0341040985114435,0.0283407811949277,Vermont,VT,10.78,7.25,1,1,0,2019.0,659.9954676352942,2020.29,3636.522,5050.725,8081.160000000001,12121.740000000002,16162.320000000002,20202.9,24243.480000000003,27273.915,30304.35,32370.678123636382,36365.22,40405.8,42426.09,45456.525,50507.25,52527.54,58425.54794292453,62628.990000000005,70710.15000000001,75760.875,87882.615,103771.9713733329,151521.75
51,40871,40871,4245039.0,28767,40405.8,52527.54,0.0,0.0,0.0,Virginia,VA,7.25,7.25,0,1,1,2014.0,909.1305,3030.4350000000004,5656.812000000001,9899.421,13131.885,16970.436,20202.9,24243.480000000003,26263.77,30304.35,33334.785,36870.2925,40405.8,45456.525,50002.177500000005,53537.685000000005,60608.7,65659.425,71720.295,80811.6,90913.05,102024.645,121217.4,151521.75,217181.175
53,36139,36139,3754723.0,24013,42426.09,58588.41,761.1779693202069,0.0179412707916333,0.0266773832725551,Washington,WA,12.0,7.25,1,1,0,2014.0,1010.145,4040.58,7273.044000000001,11111.595,15152.175,20202.9,23233.335000000003,25354.6395,30304.35,32324.640000000003,35355.075000000004,40405.8,42426.09,47274.786,50507.25,56568.12,60608.7,68689.86,75760.875,82831.89,93943.485,104044.935,123237.69,151521.75,242434.8
54,7134,7134,742695.0,4788,31314.495000000003,40405.8,1246.9613886288664,0.0398205811279685,0.0304029091447027,West Virginia,WV,8.75,7.25,1,0,1,,726.4620944769232,3030.4350000000004,5353.7685,8081.160000000001,11111.595,14142.03,16619.03180812501,20202.9,22223.19,25253.625,26263.77,29294.205,31314.495000000003,35355.075000000004,37877.34138993806,40405.8,45456.525,50507.25,52527.54,60608.7,65659.425,73740.585,83842.035,101014.5,150337.40652550998
55,28377,28377,2950221.0,19074,38385.51,49497.105,528.8816050429717,0.0137781575663048,0.0133795495319913,Wisconsin,WI,7.25,7.25,0,1,1,2014.0,1010.145,3232.4640000000004,5757.8265,9091.305,12121.740000000002,16162.320000000002,20202.9,23233.335000000003,26162.755500000003,30304.35,32324.640000000003,35355.075000000004,38385.51,40405.8,44953.51164173078,48486.96000000001,50507.25,55557.975000000006,60608.7,65659.425,70710.15000000001,79801.455,90913.05,107191.73345649248,171724.65000000002
56,2755,2755,279136.0,1825,35567.35184782609,48992.0325,906.958552267128,0.0254997492123542,0.043656972972698,Wyoming,WY,7.25,7.25,0,0,1,,1010.145,2525.3625,4863.49579883721,7071.015,10101.45,13131.885,17172.465,20202.9,24243.480000000003,26263.77,30304.35,32324.640000000003,35567.35184782609,38981.68279639025,42426.09,47476.815,50507.25,54547.83,60608.7,65659.425,70710.15000000001,80811.6,92804.26591666718,108085.515,151521.75
