paper_dgp,dgp,n_train,n_grid,n_particles,method,metric,target_id,mean,mc_sd,n_replications,mc_se
LS0,IC0,250,25,10,drf,mode_coverage,LAW-A-K,0.99975,0.0011180339887498954,20,0.0002500000000000001
LS0,IC0,250,25,10,drf,peak_ram,NONE_OPERATIONAL,313.33,13.471702853677318,10,4.260126497861038
LS0,IC0,250,25,10,drf,process_peak_ram,NONE_OPERATIONAL,871.140234375,103.0768378178492,10,32.59575815121836
LS0,IC0,250,25,10,drf,reference_effect_rmse,REF-ATE-K,0.24844985978093437,0.042999438907582656,10,0.013597616505722365
LS0,IC0,250,25,10,drf,reference_tcate_rmse,REF-TCATE-K,0.2484761688662252,0.043001439466194516,10,0.013598249137902979
LS0,IC0,250,25,10,drf,runtime,NONE_OPERATIONAL,8.3524,1.550997542801979,10,0.4904684880578748
LS0,IC0,250,25,10,drf,tail_calibration,LAW-A-K,2.9344056335399686e-05,1.4404177339710685e-05,20,3.220871969155517e-06
LS0,IC0,250,25,10,drf,tate_functional_rmse,TATE-K-grid_mean,0.29301188836822,0.0472793348598321,10,0.014951038441486713
LS0,IC0,250,25,10,drf,tate_functional_rmse,TATE-K-grid_sd,0.018403501123638956,0.008639863225440903,10,0.0027321646464722083
LS0,IC0,250,25,10,drf,tate_functional_rmse,TATE-K-grid_skewness,0.11059915667405566,0.025012503812715838,10,0.00790964820318277
LS0,IC0,250,25,10,drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,0.29481721246195586,0.04835978850527644,10,0.015292707884070326
LS0,IC0,250,25,10,drf,tcate_functional_rmse,TCATE-K-grid_mean,0.2930391069064625,0.047277089535096996,10,0.014950328407461749
LS0,IC0,250,25,10,drf,tcate_functional_rmse,TCATE-K-grid_sd,0.018413840165575547,0.008634532577550456,10,0.0027304789475983897
LS0,IC0,250,25,10,drf,tcate_functional_rmse,TCATE-K-grid_skewness,0.11060709453842692,0.025026636295145992,10,0.00791411728652993
LS0,IC0,250,25,10,drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,0.2948448753394605,0.04836054528991449,10,0.015292947200385773
LS0,IC0,500,25,10,causal_drf,arm_energy_risk,LAW-A-M-K,0.09283070168523837,0.00857514893290802,20,0.0019174615931167114
LS0,IC0,500,25,10,causal_drf,barycenter_rmse,MEANQ-A-K,0.31505711065323566,0.016190414644973002,20,0.0036202867730067757
LS0,IC0,500,25,10,causal_drf,diagnostic_effective_support,NONE_OPERATIONAL,101.64307932392623,3.5918437962532184,10,1.1358407395705936
LS0,IC0,500,25,10,causal_drf,kernel_law_error,LAW-A-K,0.065116315270559,0.006597748166071089,20,0.0014753013397759526
LS0,IC0,500,25,10,causal_drf,mean_quantile_rmse,MEANQ-A-K,0.23221811405447382,0.036861827124737054,10,0.011656733242954478
LS0,IC0,500,25,10,causal_drf,mode_coverage,LAW-A-K,1.0,0.0,20,0.0
LS0,IC0,500,25,10,causal_drf,peak_ram,NONE_OPERATIONAL,318.50782,1.9546812316419633,10,0.6181244791571793
LS0,IC0,500,25,10,causal_drf,process_peak_ram,NONE_OPERATIONAL,758.7234375,182.93524883590865,10,57.84920506511374
LS0,IC0,500,25,10,causal_drf,reference_effect_rmse,REF-ATE-K,0.1866962934171949,0.03437741266977291,10,0.010871092410001226
LS0,IC0,500,25,10,causal_drf,reference_tcate_rmse,REF-TCATE-K,0.18683984306251925,0.03419147173447978,10,0.010812292723422398
LS0,IC0,500,25,10,causal_drf,runtime,NONE_OPERATIONAL,13.2643,2.08286085575692,10,0.6586584353399302
