statefips,year,A1,A2,A3,rmw,fed_only
8,2010,0.0,0.0,0.0,7.98030972920419,False
8,2011,0.0,0.0,1.0,7.8535658966714506,False
8,2012,0.0,0.0,1.0,7.986778058626236,False
8,2013,0.0,0.0,1.0,8.015499480579225,False
8,2014,0.0,0.0,1.0,8.111020803956624,False
8,2015,0.0,0.0,1.0,8.33382823819278,False
8,2016,0.0,0.0,1.0,8.31,False
9,1980,0.0,0.0,1.0,8.656650300242795,False
9,1981,0.0,0.0,1.0,8.53946306303389,False
9,1982,0.0,0.0,1.0,8.052857649190267,False
9,1983,0.0,0.0,1.0,7.723956120896127,False
9,1984,0.0,0.0,1.0,7.417392498429811,False
9,1985,0.0,0.0,1.0,7.171551381804309,False
9,1986,0.0,0.0,1.0,7.045753317441762,False
9,1987,0.0,0.0,1.0,6.814104661891646,False
9,1988,1.0,1.0,1.0,7.314704649844065,False
9,1989,1.0,1.0,1.0,7.946383140069239,False
9,1990,0.0,0.0,1.0,7.570692087908441,False
9,1991,0.0,0.0,1.0,7.307352915977742,False
9,1992,0.0,0.0,1.0,7.160750290593347,False
9,1993,0.0,0.0,1.0,6.986847434860228,False
9,1994,0.0,0.0,1.0,6.8436700363348475,False
9,1995,0.0,0.0,1.0,6.68243124934443,False
9,1996,0.0,0.0,1.0,6.5076861406104065,False
9,1997,1.0,1.0,1.0,7.115924563602003,False
9,1998,1.0,1.0,1.0,7.622485678992587,False
9,1999,1.0,1.0,1.0,8.141940575318939,False
9,2000,1.0,1.0,1.0,8.571419912891011,False
9,2001,0.0,0.0,1.0,8.676078809347239,False
9,2002,1.0,1.0,1.0,8.940126825702718,False
9,2003,0.0,0.0,1.0,9.00286317744757,False
9,2004,0.0,0.0,1.0,9.021238867965444,False
9,2005,0.0,0.0,1.0,8.727449992142247,False
9,2006,0.0,0.0,1.0,8.810318815298807,False
9,2007,0.0,0.0,1.0,8.85530503176453,False
9,2008,0.0,0.0,1.0,8.527978670799875,False
9,2009,1.0,1.0,1.0,8.949744065260372,False
9,2010,0.0,0.0,1.0,9.081042105646148,False
9,2011,0.0,0.0,1.0,8.803249816241776,False
9,2012,0.0,0.0,1.0,8.624465835558436,False
9,2013,0.0,0.0,1.0,8.499726312953547,False
9,2014,1.0,1.0,1.0,8.820735124302827,False
9,2015,1.0,1.0,1.0,9.265434797018704,False
9,2016,1.0,1.0,1.0,9.6,False
10,1980,0.0,0.0,0.0,8.601158952164315,True
10,1981,0.0,0.0,0.0,8.488783757021821,True
10,1982,0.0,0.0,0.0,8.005066209135727,False
10,1983,0.0,0.0,0.0,7.678116618694963,False
10,1984,0.0,0.0,0.0,7.373372364907972,False
10,1985,0.0,0.0,0.0,7.128990246007251,False
10,1986,0.0,0.0,0.0,7.003938757694334,False
10,1987,0.0,0.0,0.0,6.773664871613358,False
10,1988,0.0,0.0,0.0,6.5344694871940305,False
10,1989,0.0,0.0,0.0,6.263619651583989,False
10,1990,0.0,0.0,0.0,5.967486704586653,False
10,1991,0.0,1.0,0.0,6.533633195462452,True
10,1992,0.0,1.0,0.0,7.127210476585884,True
10,1993,0.0,0.0,0.0,6.954122154134888,False
10,1994,0.0,0.0,0.0,6.8116153757431155,False
10,1995,0.0,0.0,0.0,6.65113180555359,False
10,1996,0.0,0.0,0.0,6.477205175080615,False
10,1997,1.0,1.0,1.0,7.459040423062897,False
10,1998,0.0,0.0,0.0,7.578340009037032,False
10,1999,0.0,0.0,0.0,7.421414860688944,False
10,2000,1.0,1.0,1.0,7.874556505338896,False
10,2001,1.0,1.0,1.0,8.337169480857112,False
10,2002,0.0,0.0,1.0,8.206235817622645,False
10,2003,0.0,0.0,1.0,8.024291092942399,False
10,2004,0.0,0.0,1.0,7.814171695491195,False
10,2005,0.0,0.0,1.0,7.559692598827441,False
10,2006,0.0,0.0,1.0,7.322089285687523,False
10,2007,1.0,1.0,1.0,7.697748818461977,False
10,2008,1.0,1.0,1.0,7.970594443950209,False
10,2009,0.0,0.0,1.0,7.998833758326458,False
10,2010,0.0,0.0,0.0,7.98030972920419,False
10,2011,0.0,0.0,0.0,7.736189232454893,False
10,2012,0.0,0.0,0.0,7.579076037308928,False
10,2013,0.0,0.0,0.0,7.469456456837966,False
10,2014,0.0,0.0,0.0,7.35061260358569,False
10,2015,1.0,1.0,1.0,7.847772642283601,False
10,2016,1.0,1.0,1.0,8.25,False
11,1980,0.0,0.0,0.0,8.601158952164315,True
11,1981,1.0,1.0,1.0,9.50236987726323,False
11,1982,0.0,0.0,1.0,9.31933081063562,False
11,1983,0.0,0.0,1.0,8.938702929226972,False
11,1984,0.0,0.0,1.0,8.583926036758534,False
11,1985,0.0,0.0,1.0,8.299421480426352,False
11,1986,0.0,0.0,1.0,8.153839150748627,False
11,1987,0.0,0.0,1.0,7.885759104266296,False
11,1988,1.0,1.0,1.0,9.460351347131656,False
11,1989,0.0,0.0,1.0,9.068225465726073,False
11,1990,0.0,0.0,1.0,8.63949567678963,False
11,1991,0.0,0.0,1.0,8.33897920999813,False
11,1992,0.0,0.0,1.0,8.133404896809774,False
11,1993,0.0,0.0,1.0,7.935880575895107,False
11,1994,1.0,1.0,1.0,8.414348405329731,False
11,1995,0.0,0.0,1.0,8.216103995095612,False
11,1996,0.0,0.0,1.0,8.001253451570172,False
11,1997,1.0,1.0,1.0,8.57789648652233,False
11,1998,1.0,1.0,1.0,9.049862340888883,False
11,1999,0.0,0.0,1.0,8.862466289948934,False
11,2000,0.0,0.0,1.0,8.571419912891011,False
11,2001,0.0,0.0,1.0,8.337169480857112,False
11,2002,0.0,0.0,1.0,8.206235817622645,False
11,2003,0.0,0.0,1.0,8.024291092942399,False
11,2004,0.0,0.0,1.0,7.814171695491195,False
11,2005,1.0,1.0,1.0,8.112840837766033,False
11,2006,0.0,0.0,1.0,8.334085365823196,False
11,2007,0.0,0.0,1.0,8.10289349311787,False
11,2008,0.0,0.0,1.0,7.8033791758953095,False
11,2009,1.0,1.0,1.0,8.446320961589477,False
11,2010,1.0,1.0,1.0,9.081042105646148,False
11,2011,0.0,0.0,1.0,8.803249816241776,False
11,2012,0.0,0.0,1.0,8.624465835558436,False
11,2013,0.0,0.0,1.0,8.499726312953547,False
11,2014,0.0,0.0,1.0,8.364490204080267,False
11,2015,1.0,1.0,1.0,9.619850335702479,False
11,2016,1.0,1.0,1.0,10.5,False
12,1980,0.0,0.0,0.0,8.601158952164315,True
12,1981,0.0,0.0,0.0,8.488783757021821,True
12,1982,0.0,0.0,0.0,8.005066209135727,False
12,1983,0.0,0.0,0.0,7.678116618694963,False
12,1984,0.0,0.0,0.0,7.373372364907972,False
12,1985,0.0,0.0,0.0,7.128990246007251,False
12,1986,0.0,0.0,0.0,7.003938757694334,False
12,1987,0.0,0.0,0.0,6.773664871613358,False
12,1988,0.0,0.0,0.0,6.5344694871940305,False
12,1989,0.0,0.0,0.0,6.263619651583989,False
12,1990,0.0,0.0,0.0,5.967486704586653,False
12,1991,0.0,1.0,0.0,6.533633195462452,True
12,1992,0.0,1.0,0.0,7.127210476585884,True
12,1993,0.0,0.0,0.0,6.954122154134888,False
12,1994,0.0,0.0,0.0,6.8116153757431155,False
12,1995,0.0,0.0,0.0,6.65113180555359,False
12,1996,0.0,0.0,0.0,6.477205175080615,False
12,1997,0.0,1.0,0.0,7.086088401909752,True
12,1998,0.0,1.0,0.0,7.578340009037032,True
12,1999,0.0,0.0,0.0,7.421414860688944,False
12,2000,0.0,0.0,0.0,7.177693097786782,False
12,2001,0.0,0.0,0.0,6.981532166896606,False
12,2002,0.0,0.0,0.0,6.871888530204329,False
12,2003,0.0,0.0,0.0,6.719528313602171,False
12,2004,0.0,0.0,0.0,6.54357467183409,False
12,2005,0.0,0.0,0.0,6.330474290075012,False
12,2006,1.0,1.0,1.0,7.61973519160978,False
12,2007,0.0,0.0,1.0,7.720899942728027,False
12,2008,0.0,0.0,1.0,7.56927780061845,False
12,2009,1.0,1.0,1.0,8.06595683881591,False
12,2010,0.0,0.0,0.0,7.98030972920419,False
12,2011,0.0,0.0,0.0,7.736189232454893,False
12,2012,1.0,1.0,1.0,8.01813975257372,False
12,2013,0.0,0.0,1.0,8.02580217914038,False
12,2014,0.0,0.0,1.0,8.040049371922002,False
12,2015,0.0,0.0,1.0,8.151557389726838,False
12,2016,0.0,0.0,1.0,8.05,False
13,1980,0.0,0.0,0.0,8.601158952164315,True
13,1981,0.0,0.0,0.0,8.488783757021821,True
13,1982,0.0,0.0,0.0,8.005066209135727,False
13,1983,0.0,0.0,0.0,7.678116618694963,False
13,1984,0.0,0.0,0.0,7.373372364907972,False
13,1985,0.0,0.0,0.0,7.128990246007251,False
13,1986,0.0,0.0,0.0,7.003938757694334,False
13,1987,0.0,0.0,0.0,6.773664871613358,False
13,1988,0.0,0.0,0.0,6.5344694871940305,False
13,1989,0.0,0.0,0.0,6.263619651583989,False
13,1990,0.0,0.0,0.0,5.967486704586653,False
13,1991,0.0,1.0,0.0,6.533633195462452,True
13,1992,0.0,1.0,0.0,7.127210476585884,True
13,1993,0.0,0.0,0.0,6.954122154134888,False
13,1994,0.0,0.0,0.0,6.8116153757431155,False
13,1995,0.0,0.0,0.0,6.65113180555359,False
13,1996,0.0,0.0,0.0,6.477205175080615,False
13,1997,0.0,1.0,0.0,7.086088401909752,True
13,1998,0.0,1.0,0.0,7.578340009037032,True
13,1999,0.0,0.0,0.0,7.421414860688944,False
13,2000,0.0,0.0,0.0,7.177693097786782,False
13,2001,0.0,0.0,0.0,6.981532166896606,False
13,2002,0.0,0.0,0.0,6.871888530204329,False
13,2003,0.0,0.0,0.0,6.719528313602171,False
13,2004,0.0,0.0,0.0,6.54357467183409,False
13,2005,0.0,0.0,0.0,6.330474290075012,False
13,2006,0.0,0.0,0.0,6.131505661998495,False
13,2007,0.0,0.0,0.0,5.961414498508147,False
13,2008,0.0,1.0,0.0,6.5213954541410795,True
13,2009,0.0,1.0,0.0,7.32760295343193,True
13,2010,0.0,1.0,0.0,7.98030972920419,True
13,2011,0.0,0.0,0.0,7.736189232454893,False
13,2012,0.0,0.0,0.0,7.579076037308928,False
13,2013,0.0,0.0,0.0,7.469456456837966,False
13,2014,0.0,0.0,0.0,7.35061260358569,False
13,2015,0.0,0.0,0.0,7.341464729878208,False
13,2016,0.0,0.0,0.0,7.25,False
15,1980,0.0,0.0,0.0,8.601158952164315,True
15,1981,0.0,0.0,0.0,8.488783757021821,True
15,1982,0.0,0.0,0.0,8.005066209135727,False
15,1983,0.0,0.0,0.0,7.678116618694963,False
15,1984,0.0,0.0,0.0,7.373372364907972,False
15,1985,0.0,0.0,0.0,7.128990246007251,False
15,1986,0.0,0.0,0.0,7.003938757694334,False
15,1987,0.0,0.0,0.0,6.773664871613358,False
15,1988,1.0,1.0,1.0,7.509763440506573,False
15,1989,0.0,0.0,1.0,7.198488256298017,False
15,1990,0.0,0.0,1.0,6.858156361987646,False
15,1991,0.0,0.0,1.0,6.619602053297484,False
15,1992,1.0,1.0,0.0,7.127210476585884,False
15,1993,1.0,1.0,1.0,8.59038619040192,False
15,1994,0.0,0.0,1.0,8.414348405329731,False
15,1995,0.0,0.0,1.0,8.216103995095612,False
15,1996,0.0,0.0,1.0,8.001253451570172,False
15,1997,0.0,0.0,1.0,7.831992444216041,False
15,1998,0.0,0.0,1.0,7.7254922422222165,False
15,1999,0.0,0.0,1.0,7.565520003614942,False
15,2000,0.0,0.0,1.0,7.317065779297204,False
15,2001,0.0,0.0,1.0,7.117095898292657,False
15,2002,1.0,1.0,1.0,7.672496902655317,False
15,2003,1.0,1.0,1.0,8.15476737087642,False
15,2004,0.0,0.0,1.0,7.941231397856905,False
15,2005,0.0,0.0,1.0,7.682614429702683,False
15,2006,1.0,1.0,1.0,8.036439459900938,False
15,2007,1.0,1.0,1.0,8.392282546443509,False
15,2008,0.0,0.0,1.0,8.082071289320142,False
15,2009,0.0,0.0,1.0,8.110705559142213,False
15,2010,0.0,0.0,0.0,7.98030972920419,False
15,2011,0.0,0.0,0.0,7.736189232454893,False
15,2012,0.0,0.0,0.0,7.579076037308928,False
15,2013,0.0,0.0,0.0,7.469456456837966,False
15,2014,0.0,0.0,0.0,7.35061260358569,False
15,2015,1.0,1.0,1.0,7.847772642283601,False
15,2016,1.0,1.0,1.0,8.5,False
16,1980,0.0,0.0,0.0,8.601158952164315,True
16,1981,0.0,0.0,0.0,8.488783757021821,True
16,1982,0.0,0.0,0.0,8.005066209135727,False
16,1983,0.0,0.0,0.0,7.678116618694963,False
16,1984,0.0,0.0,0.0,7.373372364907972,False
16,1985,0.0,0.0,0.0,7.128990246007251,False
16,1986,0.0,0.0,0.0,7.003938757694334,False
16,1987,0.0,0.0,0.0,6.773664871613358,False
16,1988,0.0,0.0,0.0,6.5344694871940305,False
16,1989,0.0,0.0,0.0,6.263619651583989,False
16,1990,0.0,0.0,0.0,5.967486704586653,False
16,1991,0.0,1.0,0.0,6.533633195462452,True
16,1992,0.0,1.0,0.0,7.127210476585884,True
16,1993,0.0,0.0,0.0,6.954122154134888,False
16,1994,0.0,0.0,0.0,6.8116153757431155,False
16,1995,0.0,0.0,0.0,6.65113180555359,False
16,1996,0.0,0.0,0.0,6.477205175080615,False
16,1997,0.0,1.0,0.0,7.086088401909752,True
16,1998,0.0,1.0,0.0,7.578340009037032,True
16,1999,0.0,0.0,0.0,7.421414860688944,False
16,2000,0.0,0.0,0.0,7.177693097786782,False
16,2001,0.0,0.0,0.0,6.981532166896606,False
16,2002,0.0,0.0,0.0,6.871888530204329,False
16,2003,0.0,0.0,0.0,6.719528313602171,False
16,2004,0.0,0.0,0.0,6.54357467183409,False
16,2005,0.0,0.0,0.0,6.330474290075012,False
16,2006,0.0,0.0,0.0,6.131505661998495,False
16,2007,0.0,0.0,0.0,5.961414498508147,False
16,2008,0.0,1.0,0.0,6.5213954541410795,True
16,2009,0.0,1.0,0.0,7.32760295343193,True
16,2010,0.0,1.0,0.0,7.98030972920419,True
16,2011,0.0,0.0,0.0,7.736189232454893,False
16,2012,0.0,0.0,0.0,7.579076037308928,False
16,2013,0.0,0.0,0.0,7.469456456837966,False
16,2014,0.0,0.0,0.0,7.35061260358569,False
16,2015,0.0,0.0,0.0,7.341464729878208,False
16,2016,0.0,0.0,0.0,7.25,False
17,1980,0.0,0.0,0.0,8.601158952164315,True
17,1981,0.0,0.0,0.0,8.488783757021821,True
17,1982,0.0,0.0,0.0,8.005066209135727,False
17,1983,0.0,0.0,0.0,7.678116618694963,False
17,1984,0.0,0.0,0.0,7.373372364907972,False
17,1985,0.0,0.0,0.0,7.128990246007251,False
17,1986,0.0,0.0,0.0,7.003938757694334,False
17,1987,0.0,0.0,0.0,6.773664871613358,False
17,1988,0.0,0.0,0.0,6.5344694871940305,False
17,1989,0.0,0.0,0.0,6.263619651583989,False
17,1990,0.0,0.0,0.0,5.967486704586653,False
17,1991,0.0,1.0,0.0,6.533633195462452,True
