run,seed,n,treated,shrinkage,functional,dr,if_se,plugin
fit_primary_seed0,0,867,117,500.0,tail,0.4165817784539969,0.2133723873987949,0.018234575737901895
fit_primary_seed0,0,867,117,500.0,reference,0.11672143308630623,0.15792203056458612,-0.000529730373825659
fit_primary_seed0,0,867,117,500.0,p10,0.22427152466396602,0.0393049046174484,0.02815746422021837
fit_primary_seed0,0,867,117,500.0,p90,0.41633638276506396,0.3129413855609623,0.011917621926020952
fit_primary_seed0,0,867,117,500.0,ref_us2016,-0.23708450785970314,0.17016741875656624,-0.007352411511483411
fit_primary_seed0,0,867,117,500.0,ref_mean_norm,-0.0013726083004669556,0.003293102140868364,-0.0006748917245548687
fit_primary_seed1,1,867,117,500.0,mean,0.3340907323374003,0.12855461769056248,0.021032164940602234
fit_primary_seed1,1,867,117,500.0,sd,0.10517283524646358,0.12416992876826592,-0.005556679944974341
fit_primary_seed1,1,867,117,500.0,skew,-0.0048695156933770975,0.016000923461244154,9.125225907775312e-06
fit_primary_seed1,1,867,117,500.0,tail,0.43307721473083044,0.2170306085703716,0.018234575737901895
fit_primary_seed1,1,867,117,500.0,reference,0.08057247432561991,0.14187564225252433,-0.000529730373825659
fit_primary_seed1,1,867,117,500.0,p10,0.22931577617188628,0.04255943496471176,0.02815746422021837
fit_primary_seed1,1,867,117,500.0,p90,0.38209117835502476,0.3028540977989716,0.011917621926020952
fit_primary_seed1,1,867,117,500.0,ref_us2016,-0.18554399705246394,0.1486863139425005,-0.007352411511483411
fit_primary_seed1,1,867,117,500.0,ref_mean_norm,-0.002577053978045633,0.003167707326660399,-0.0006748917245548687
fit_primary_seed2,2,867,117,500.0,mean,0.3529677884590001,0.1456945571398106,0.021032164940602234
fit_primary_seed2,2,867,117,500.0,sd,0.1544259741777717,0.1354368513550153,-0.005556679944974341
fit_primary_seed2,2,867,117,500.0,skew,-0.0010028813109413525,0.017055960277983426,9.125225907775312e-06
fit_primary_seed2,2,867,117,500.0,tail,0.47962956385404776,0.24131294710185378,0.018234575737901895
fit_primary_seed2,2,867,117,500.0,reference,0.12300813625960985,0.16344957254813455,-0.000529730373825659
fit_primary_seed2,2,867,117,500.0,p10,0.20960721808557492,0.039803067919786786,0.02815746422021837
fit_primary_seed2,2,867,117,500.0,p90,0.4682103850910161,0.33893045715708847,0.011917621926020952
fit_primary_seed2,2,867,117,500.0,ref_us2016,-0.20934485606090456,0.1625085608287112,-0.007352411511483411
fit_primary_seed2,2,867,117,500.0,ref_mean_norm,-0.0005394382946407016,0.0034792927611310667,-0.0006748917245548687
fit_yearfe_seed0,0,867,117,50.0,mean,0.33638999876359854,0.1266396364192133,0.0798208378825915
fit_yearfe_seed0,0,867,117,50.0,sd,0.0985395677555422,0.11617735395369544,-0.04039652152465572
fit_yearfe_seed0,0,867,117,50.0,skew,-0.004529287650392827,0.016860956149829836,-0.0005236749777802617
fit_yearfe_seed0,0,867,117,50.0,tail,0.4263166103922442,0.20569399020947124,0.06014315508427239
fit_yearfe_seed0,0,867,117,50.0,reference,0.1317650449347463,0.1515904947551611,-0.021945235751722764
fit_yearfe_seed0,0,867,117,50.0,p10,0.2327589648664396,0.03723690601899309,0.10955735364223002
fit_yearfe_seed0,0,867,117,50.0,p90,0.38769567877423233,0.3066068594429808,-0.015920624597894777
fit_yearfe_seed0,0,867,117,50.0,ref_us2016,-0.20381685464155758,0.14642087944282503,-0.013846199479981284
fit_yearfe_seed0,0,867,117,50.0,ref_mean_norm,-0.003550162823250894,0.0032377586992149215,-0.003436614880196061
lo_state_CA,0,850,112,500.0,mean,0.2678095403316331,0.16752898399585348,0.02384308028376142
lo_state_CA,0,850,112,500.0,sd,0.07245070694573479,0.1453353242065239,-0.0056129705122446565
lo_state_CA,0,850,112,500.0,skew,0.007872943962338048,0.019845718935762018,-3.3624580212988707e-05
lo_state_CA,0,850,112,500.0,tail,0.3240697121766085,0.27655708641401683,0.02103351941448505
lo_state_CA,0,850,112,500.0,reference,0.009830071299790374,0.18692798167582117,-0.0018640367567339593
lo_state_CA,0,850,112,500.0,p10,0.21040199047639122,0.04461837656481058,0.030558039284031058
lo_state_CA,0,850,112,500.0,p90,0.200165795718007,0.37782333929674916,0.015287734086073299
lo_state_CA,0,850,112,500.0,ref_us2016,-0.2471977846045542,0.1457789209188811,-0.010301351544179884
lo_state_CA,0,850,112,500.0,ref_mean_norm,-0.0022754902303070345,0.003282394170949342,-0.0007432454146360229
lo_state_NY,0,850,113,50.0,mean,0.23635032309444012,0.1436816200723457,0.08371581065361963
lo_state_NY,0,850,113,50.0,sd,0.07264205189941043,0.12324673952563114,-0.027984742897193216
lo_state_NY,0,850,113,50.0,skew,0.00830775984362987,0.01879303782746379,-0.0006253244323405651
lo_state_NY,0,850,113,50.0,tail,0.2888513746854394,0.2326929854882783,0.07079013837091079
lo_state_NY,0,850,113,50.0,reference,0.005705269536116107,0.16825080478693075,-0.01747382492304418
lo_state_NY,0,850,113,50.0,p10,0.20527390648195568,0.04387227839154153,0.10570917716355943
lo_state_NY,0,850,113,50.0,p90,0.19314828630073963,0.3321405356121165,0.01552602600744563
lo_state_NY,0,850,113,50.0,ref_us2016,-0.24237581772304198,0.15448014131544946,-0.02547004156231785
lo_state_NY,0,850,113,50.0,ref_mean_norm,-0.0018487001709898184,0.003347117894057453,-0.002993773761937932
lo_state_TX,0,850,117,50.0,mean,0.31328275243386544,0.11865483543866942,0.08333496842217414
lo_state_TX,0,850,117,50.0,sd,0.14632900272383756,0.11471193958284767,-0.0043523016947739825
